2015-01-01,194437.26
2015-02-01,226613.7
2015-03-01,212095.584
2015-04-01,165351.429
2015-05-01,179265.312
2015-06-01,255126.564
2015-07-01,231954.786
2015-08-01,196064.361
2015-09-01,215455.248
2015-10-01,191769.066
2015-11-01,214963.551
2015-12-01,215773.443
2016-01-01,213881.0
2016-02-01,249275.1
2016-03-01,233305.1
2016-04-01,181887.0
2016-05-01,197191.8
2016-06-01,280639.2
2016-07-01,255150.3
2016-08-01,215670.8
2016-09-01,237000.7
2016-10-01,210945.9
2016-11-01,236459.9
2016-12-01,237350.8
2017-01-01,252379.6
2017-02-01,294144.5
2017-03-01,275299.9
2017-04-01,214626.2
2017-05-01,232686.3
2017-06-01,331154.3
